Empresa,Yhaguy,,,,,,,,,
,,,,,,,,,,
CODIGO,DESCRIPCION,FAMILIA,MARCA,ESTADO,SALDO,COSTO,MAYORISTA,DOLARES,MINORISTA,AUTOCENTRO
VAR RCCD 0113.0,BOMBA CENTRAL 1113,REPUESTOS,VARGA,A,0,"350431,818",481844,"126,801",722766,716664
VAR RCCD 2344.6,BOMBA CENTRAL 1313,REPUESTOS,VARGA,A,0,"414903,964",570493,"150,13",855740,781742
VAR RCCE 0003.3,BOMBA DE EMBR.AUX.608,REPUESTOS,VARGA,A,0,"128441,491",176607,"46,476",264911,268901
VAR RCCE 0004.1,BOMBA DE EMBR.M/N 608,REPUESTOS,VARGA,A,0,"149460,909",205509,"54,081",308264,217703
VAR RCCE 0011.4,BOMBA DE EMBR.M/N.INF.FINO,REPUESTOS,VARGA,A,0,"136007,455",187010,"49,213",280515,280583
VAR RCCE 0012.2,BOMBA DE EMBR.M/N.SUP.FINO,REPUESTOS,VARGA,A,0,"99854,545",137300,"36,132",205950,212226
VAR RCCE 0023.8,BOMBA DE EMBR.PICUDO SUP.GRUESO,REPUESTOS,VARGA,A,0,120050,165069,"43,439",247604,202875
VAR RCCE 0024.6,BOMBA DE EMBR.M/N.INF.GRUESO,REPUESTOS,VARGA,A,0,"126030,573",180224,"47,427",270336,339219
VAR RCCE 0031.9,BOMBA DE EMBR.PICUDO M/N 4 OREJAS,REPUESTOS,VARGA,A,0,"272346,364",374476,"98,546",561714,429375
VAR RCCE 0033.5,BOMBA DE EMBR.M/N.SUP.GRUESO,REPUESTOS,VARGA,A,0,"85076,1",116980,"30,784",175470,169638
VAR RCCE 0065.0,BOMBA DE EMBR.VL,REPUESTOS,VARGA,A,0,"113230,909",155693,"40,972",233540,186209
VAR RCCE 0071.0,CILINDRO EMBRAGUE MB OM500,REPUESTOS,VARGA,A,0,"147379,673",210753,"55,461",316130,302660
VAR RCCE 0080.0,BOMBA EMBRAGUE CHEVROLET S-10,REPUESTOS,VARGA,A,0,"219018,182",301150,"79,25",451725,451725
VAR RCCM 0003.0,BOMBA FRENO 709 PICUDITO,REPUESTOS,VARGA,A,0,"233714,545",321358,"84,568",482037,422691
VAR RCCM 0004.7,BOMBA CENTRAL DE FRENO MB 608,REPUESTOS,COMPRA LOCAL,A,0,"129465,455",178015,"46,846",267023,267023
VAR RCCM 006.3,BOMBA CENTRAL 608 72/75,REPUESTOS,VARGA,A,0,"119351,818",164109,"43,187",246164,208742
VAR RCCM 2790.0,BOMBA CENTRAL 1513 1 CIRCUITO,REPUESTOS,VARGA,A,0,"209029,091",287415,"75,636",431123,431123
VAR RCCR 0002.3,CILINDRO RUEDA DEL/TRAS.608 (7/8),REPUESTOS,VARGA,A,0,"54692,727",75203,"19,79",112805,69897
