Empresa,Yhaguy,,,,,,
,,,,,,,
RAZONSOCIAL,NRODOCUMENTO,CONCEPTO,EMISION,VENCIMIENTO,IMPORTE,SALDO,IDCUENTA
YHAGUY BATERIAS S.A.,9.349,Compras  CREDITO,17/6/2017,17/6/2017,2059200,2059200,58348
YHAGUY BATERIAS S.A.,9.385,Compras  CREDITO,19/6/2017,19/6/2017,30051140,30051140,58348
YHAGUY BATERIAS S.A.,9.413,Compras  CREDITO,20/6/2017,20/6/2017,1552000,1552000,58348
YHAGUY BATERIAS S.A.,9.439,Compras  CREDITO,20/6/2017,20/6/2017,784000,784000,58348
YHAGUY BATERIAS S.A.,9.485,Compras  CREDITO,21/6/2017,21/6/2017,392000,392000,58348
YHAGUY BATERIAS S.A.,9.542,Compras  CREDITO,22/6/2017,22/6/2017,23520000,23520000,58348
YHAGUY BATERIAS S.A.,9.638,Compras  CREDITO,23/6/2017,23/6/2017,5820000,5820000,58348
YHAGUY BATERIAS S.A.,9.658,Compras  CREDITO,26/6/2017,26/6/2017,105162,105162,58348
YHAGUY BATERIAS S.A.,9.717,Compras  CREDITO,28/6/2017,28/6/2017,17442000,17442000,58348
YHAGUY BATERIAS S.A.,9.756,Compras  CREDITO,29/6/2017,29/6/2017,3600000,3600000,58348
YHAGUY BATERIAS S.A.,9.912,Compras  CREDITO,3/7/2017,3/7/2017,3520000,3520000,58348
YHAGUY BATERIAS S.A.,9.949,Compras  CREDITO,4/7/2017,4/7/2017,1430000,1430000,58348
YHAGUY BATERIAS S.A.,9.960,Compras  CREDITO,4/7/2017,4/7/2017,3918000,3918000,58348
YHAGUY BATERIAS S.A.,10.017,Compras  CREDITO,6/7/2017,6/7/2017,1430000,1430000,58348
YHAGUY BATERIAS S.A.,10.080,Compras  CREDITO,8/7/2017,8/7/2017,1430000,1430000,58348
YHAGUY BATERIAS S.A.,10.239,Compras  CREDITO,12/7/2017,12/7/2017,4928000,4928000,58348
YHAGUY BATERIAS S.A.,10.300,Compras  CREDITO,13/7/2017,13/7/2017,20801145,20801145,58348
YHAGUY BATERIAS S.A.,10.374,Compras  CREDITO,15/7/2017,15/7/2017,5720000,5720000,58348
YHAGUY BATERIAS S.A.,10.460,Compras  CREDITO,18/7/2017,18/7/2017,290000,290000,58348
YHAGUY BATERIAS S.A.,10.518,Compras  CREDITO,19/7/2017,19/7/2017,5720000,5720000,58348
YHAGUY BATERIAS S.A.,10.526,Compras  CREDITO,19/7/2017,19/7/2017,4510400,4510400,58348
YHAGUY BATERIAS S.A.,10.571,Compras  CREDITO,20/7/2017,20/7/2017,563264,563264,58348
YHAGUY BATERIAS S.A.,10.593,Compras  CREDITO,20/7/2017,20/7/2017,6002800,6002800,58348
YHAGUY BATERIAS S.A.,10.654,Compras  CREDITO,21/7/2017,21/7/2017,5224000,5224000,58348
YHAGUY BATERIAS S.A.,10.690,Compras  CREDITO,24/7/2017,24/7/2017,5224000,5224000,58348
YHAGUY BATERIAS S.A.,10.692,Compras  CREDITO,24/7/2017,24/7/2017,1430000,1430000,58348
YHAGUY BATERIAS S.A.,10.712,Compras  CREDITO,24/7/2017,24/7/2017,14811640,14811640,58348
YHAGUY BATERIAS S.A.,10.719,Compras  CREDITO,24/7/2017,24/7/2017,8320000,8320000,58348
YHAGUY BATERIAS S.A.,10.772,Compras  CREDITO,25/7/2017,25/7/2017,1314000,1314000,58348
YHAGUY BATERIAS S.A.,10.840,Compras  CREDITO,26/7/2017,26/7/2017,3600000,3600000,58348
