Empresa,Yhaguy,,,,,,,,
,,,,,,,,,
CODIGO,DESCRIPCION,FAMILIA,GRUPO,MARCA,APLICACION,MODELO,LINEA,PESO,VOLUMEN
MAX EX90D,BATERIA MAX LIFE 90 AMP,BATERIAS,ELE,COMPRA LOCAL,Sin Color,VARIOS,Sin linea,0,0
YT12B-BS,BATERIA PARA MOTO YT12B-BS,BATERIAS,Sin Grupo,COMPRA LOCAL,Sin Color,VARIOS,Sin linea,0,0
ROCK N-120,BATERIA ROCKET 120 AMP 12V N-120,BATERIAS,Sin Grupo,COMPRA LOCAL,Sin Color,VARIOS,Sin linea,0,0
YB14AA2,BATERIA PARA MOTO 12 V 14-3A,BATERIAS,Sin Grupo,COMPRA LOCAL,Sin Color,VARIOS,Sin linea,0,0
CHA FV50JD,BATERIA CHAMPION FREE 50AH LA23.8 -AN12.9-AL22.5 CM,BATERIAS,Sin Grupo,CHAMPION,Sin Color,VARIOS,Sin linea,0,0
CHA FV50JE,BATERIA CHAMPION FREE 50AH LA23.8 -AN12.9-AL22.5 CM,BATERIAS,Sin Grupo,CHAMPION,Sin Color,VARIOS,Sin linea,0,0
CHA FR150TD,BATERIA CHAMPION C/ TAPON 150AH LA51-AN21.3-AL23.6 CM,BATERIAS,Sin Grupo,CHAMPION,Sin Color,VARIOS,Sin linea,0,0
CHA F70ND,BATERIA CHAMPION 70AH LA27-AN17.5-AL17.5 CM,BATERIAS,Sin Grupo,CHAMPION,Sin Color,VARIOS,Sin linea,0,0
CHA T5E60,BATERIA CHAMPION 60AH LA24-AN17.5-AL17.5,BATERIAS,Sin Grupo,CHAMPION,Sin Color,VARIOS,Sin linea,0,0
CHA F95LE,BATERIA CHAMPION 95AH LA32-AN17.1-AL22.7 CM,BATERIAS,Sin Grupo,CHAMPION,Sin Color,VARIOS,Sin linea,0,0
CHA F70NE,BATERIA CHAMPION 70AH LA27-AN17.5-AL17.5 CM,BATERIAS,Sin Grupo,CHAMPION,Sin Color,VARIOS,Sin linea,0,0
CHA 42IX516-38,BATERIA CHAMPION 60AH LA24.4-AN17.5-AL17.5,BATERIAS,Sin Grupo,CHAMPION,Sin Color,VARIOS,Sin linea,0,0
CHA 36IX451-31,BATERIA CHAMPION 45AH LA21-AN17.5-AL17.5,BATERIAS,Sin Grupo,CHAMPION,Sin Color,VARIOS,Sin linea,0,0
CHA 48IX838-50,BATERIA CHAMPION 70AH LA28.1-AN17.5-AL17.5,BATERIAS,Sin Grupo,CHAMPION,Sin Color,VARIOS,Sin linea,0,0
CHA 27LX938-56,BATERIA CHAMPION 90AH LA32-AN17.1-AL22.7,BATERIAS,Sin Grupo,CHAMPION,Sin Color,VARIOS,Sin linea,0,0
CHA 4DX1150-108,BATERIA CHAMPION 150AH LA51-AN21.3-AL23.6,BATERIAS,Sin Grupo,CHAMPION,Sin Color,VARIOS,Sin linea,0,0
CHA 8DX1420-130,BATERIA CHAMPION 180AH LA53-AN28-AL24.6,BATERIAS,Sin Grupo,CHAMPION,Sin Color,VARIOS,Sin linea,0,0
CHA 36X451-31,BATERIA CHAMPION 45AH LA21-AN17.5-AL17.5,BATERIAS,Sin Grupo,CHAMPION,Sin Color,VARIOS,Sin linea,0,0
CHA 42X516-38,BATERIA CHAMPION 60AH LA24.4-AN17.5-AL17.5,BATERIAS,Sin Grupo,CHAMPION,Sin Color,VARIOS,Sin linea,0,0
CHA NS40LX393-32,BATERIA CHAMPION 36AH LA18.7-AN12.7-AL22.5,BATERIAS,Sin Grupo,CHAMPION,Sin Color,VARIOS,Sin linea,0,0
CHA NS60LX449-38,BATERIA CHAMPION 50AH LA23.8 -AN12.9-AL22.5,BATERIAS,Sin Grupo,CHAMPION,Sin Color,VARIOS,Sin linea,0,0
